pitcherName,WeightedScore_z,TotalPitches,Role,Overall_20_80
富藍戈,3.0885045922857173,1331,Reliever,80.0
曾峻岳,3.4937340931102856,1189,Reliever,80.0
古林睿煬,2.67735691962914,2372,Starter,79.79750665703261
裴瑞茲,2.3819360767527544,870,Reliever,76.39086565927677
徐若熙,2.3428678945951225,1476,Starter,75.94035150546782
銳歐,2.250704483086251,1352,Starter,74.87757051451878
陳冠偉,2.131594205857245,1226,Reliever,73.50405214759643
勝騎士,2.0671661106479338,3408,Starter,72.76110053859571
鋼龍,2.044736373453431,3332,Starter,72.50245236214442
羅戈,1.982377459883987,2440,Starter,71.7833614900421
鄭浩均,1.7387677997290378,944,Starter,68.97418036506483
羅昂,1.6416549786450556,2831,Starter,67.85432533218601
陳韻文,1.6363574641617147,897,Reliever,67.79323712375277
威能帝,1.5717513064622461,2367,Starter,67.04823218983014
哈瑪星,1.548350806346995,1629,Starter,66.77838967538725
雷公,1.4834382112808733,462,Reliever,66.02985106358895
吳俊偉,1.450468840107157,1399,Reliever,65.64966525673438
艾璞樂,1.450365709068628,3098,Starter,65.64847600271773
德保拉,1.4438777904150517,3356,Starter,65.57366066653434
吳世豪,1.3406395894845275,687,Reliever,64.38317090826213
邱浩鈞,1.2816624165360402,1177,Reliever,63.70307652716891
林凱威,1.1791514217240433,1086,Reliever,62.520972535293794
魔神樂,1.1620679107465008,2320,Starter,62.3239742858979
布雷克,1.1536010065198694,2931,Starter,62.226338307401335
艾速特,1.114861590006514,1841,Starter,61.77961530966499
呂彥青,1.0261806975284853,1428,Reliever,60.75699293443996
余謙,0.9452627808797706,1503,Starter,59.82388919800574
戈威士,0.939939695981914,1366,Starter,59.76250612472285
安得勝,0.9235399999975513,614,Starter,59.57339327761599
黃保羅,0.9156337914251724,1174,Starter,59.48222295260698
班恩,0.8651370700091032,545,Starter,58.899920770562844
張奕,0.8416153191946013,416,Reliever,58.62868005550874
陳禹勳,0.7698416763180751,1001,Reliever,57.80102337427798
江少慶,0.7462677147369079,1312,Starter,57.52918059155486
後勁,0.7383034444169874,1877,Starter,57.43734072837905
猛登,0.6708469791806467,2455,Starter,56.65946751604797
吉田一将,0.6616801854384425,207,Reliever,56.55376077214963
霸威斯,0.6579003629826913,1581,Starter,56.51017380646154
王尉永,0.657661338254341,824,Reliever,56.50741749640857
布藍登,0.6021020269682645,1157,Starter,55.86673613556964
曾仁和,0.5850921831118558,1028,Starter,55.67058737747096
髙塩將樹,0.5656790063076789,395,Reliever,55.44672462170236
林詩翔,0.553702954742127,463,Reliever,55.30862296354847
江承峰,0.5331932730150953,479,Reliever,55.072115877785855
鑀龍,0.5105223267074931,843,Starter,54.81068620208177
威達爾,0.4959513698932382,1194,Starter,54.64266143315665
鳥松,0.49314778051245595,646,Starter,54.61033188446112
林逸達,0.48929421276567353,463,Reliever,54.565894526060816
王躍霖,0.47592391668088263,838,Reliever,54.41171515824403
雷法	,0.43119925300617346,967,Starter,53.8959733730618
黃偉晟,0.4192640098644002,749,Reliever,53.758342296631746
陳暐皓,0.4152797538752585,574,Reliever,53.7123979087341
辛俊昇,0.40068354927436856,556,Reliever,53.54408199533786
克迪,0.3820144849008396,1274,Starter,53.3287999608498
謝榮豪,0.35504720888091557,857,Reliever,53.017827223812034
郭俊麟,0.3503488556526606,1598,Starter,52.96364823436271
陳琥,0.3412291378204316,652,Reliever,52.85848434561083
劉予承,0.3388403101386356,610,Reliever,52.83093761519687
李東洺,0.33534454449519585,843,Starter,52.79062624635933
陳冠勳,0.335152595654401,574,Reliever,52.7884127911943
許育銘,0.3323305972927214,519,Reliever,52.75587095961297
廖乙忠,0.3101439907091992,265,Reliever,52.50002644013831
岳少華,0.298897058546128,945,Reliever,52.3703326113866
金安,0.27700018187001396,411,Starter,52.11782910797311
呂詠臻,0.2627422863478426,1003,Reliever,51.953414400619934
蘇俊璋,0.2343442445468652,936,Reliever,51.625942809539026
陳冠宇,0.23119896946334992,1117,Reliever,51.5896731173115
郭郁政,0.2005522192468598,1526,Starter,51.23627057902423
施子謙,0.19928192580764614,1131,Starter,51.22162220937275
林子昱,0.19205418760946213,1121,Starter,51.1382756552595
朱承洋,0.14115108364785528,210,Reliever,50.55128727901551
胡智爲,0.12455253392467969,1301,Starter,50.35988135301618
陳仕朋,0.11494753043335398,2801,Starter,50.24912139999949
尹柏淮,0.10228746155440097,235,Reliever,50.103132006503984
霍爾,0.08127848305759725,274,Starter,49.86086728756494
魔力藍,0.078147553476005,83,Starter,49.82476302027666
威斯佛,0.07087350788856804,55,Starter,49.74088247320207
吳君奕,0.07059942387929369,385,Reliever,49.73772187757946
王維中,0.06805413820378468,1987,Starter,49.70837095416876
廖任磊,0.06505189492194055,411,Reliever,49.67375063100677
吳承諭,0.06302973626425434,291,Reliever,49.65043213891878
蔡齊哲,0.0495729338427047,1116,Reliever,49.495255224583275
林鋅杰,0.048942597615980826,19,Reliever,49.48798651188372
王凱程,0.04568156031765632,623,Reliever,49.450381909420614
黃紹睿,0.029185920569540988,34,Reliever,49.260162688247874
羅華韋,0.014276794132983828,536,Reliever,49.08823832141925
羅力,0.0,5,Starter,48.923605685020284
杰戈,-0.001680210710508577,479,Starter,48.904230360532154
猛威爾,-0.014759947781965169,215,Starter,48.75340156959903
謝葆錡,-0.028777185180669126,319,Reliever,48.591762007769994
泰樂,-0.04466198567307543,413,Starter,48.408586670269365
賴智垣,-0.05409126965961576,809,Reliever,48.29985302407409
象騎士,-0.05623771838182583,443,Starter,48.27510128298004
趙璟榮,-0.061341978845725245,473,Reliever,48.216241580359736
呂偉晟,-0.07459535119381518,46,Reliever,48.06341051685072
陳韋霖,-0.08060202630614882,26,Reliever,47.99414463331102
歐書誠,-0.08066375032246856,741,Reliever,47.99343286374699
陳柏豪,-0.10819069945483059,927,Reliever,47.6760062646472
莊昕諺,-0.12859289333163484,829,Reliever,47.440738673409676
陳柏均,-0.13212045184280113,153,Reliever,47.400060685597055
范柏絜,-0.13376140363964428,115,Reliever,47.38113807468024
王柏傑,-0.14102031556875938,316,Starter,47.29743204115853
李家明,-0.1429609223530258,149,Reliever,47.275053963269926
曾品洋,-0.14488734065328612,51,Reliever,47.25283949967082
林栚呈,-0.14550538432097082,24,Reliever,47.24571253843058
林詔恩,-0.1468229624130316,1041,Starter,47.230518906517354
象魔力,-0.15334015623192845,88,Starter,47.155365984206234
黃恩賜,-0.1669141884337397,314,Reliever,46.99883723642625
